"","Collaborative","Date","Dogs","Equipment","NoActivity","Other","Power_Boats","Powered.Boats","Precipation","Precipitation","Ratio","Ratio_LESA","Ratio_WESA","RecordID","Sea_State","Site","SiteID","SiteName","Survey.Site","Tide_End","Tide_Start","Tide_State_End","Tide_State_Start","Time_End","Time_Start","Unpowered.Boats","Unpowered_Boat","Vis_Reason","Visibility","Walkers","Weather","YES_NO_WESA_Obs","Year","Month","Day"
"28","Single Observer",2013-07-20,"","","","","","","","","","","","KENN2013720","","","KENN","","Kennedy Creek","","","","","15:30","13:30",NA,"","","","","","I saw at least 1 WESA during the survey","2013","7","20"
"29","Single Observer",2013-08-17,"","","","","","","","","","","","KENN2013817","","","KENN","","Kennedy Creek","","","","","14:15","12:15",NA,"","","","","","I saw at least 1 WESA during the survey","2013","8","17"
"30","Single Observer",2013-08-17,"","","","","","","","","","","","BB922013817","","","BB92","","Boundary Bay 92","","","","","16:15","13:45",NA,"","","","","","I did not observe any Western Sandpipers during the entire survey","2013","8","17"
"31","Single Observer",2013-08-17,"1.0","Both","","","10.0","","None","","","","","COBE2013817","Rippled","","COBE","","Columbia Beach","","","Mid-high ","Mid-tide","14:30","12:00",NA,"1.0","","1km","4.0","Overcast","I saw at least 1 WESA during the survey","2013","8","17"
"32","Collaborative",2015-08-15,"6.0","Binoculars","","","","45.0","None","","","","","WHIF2015815","Rippled","","WHIF","Whiffin Spit Park","","20","60","Mid-high ","Mid-low ","13:00","10:30",NA,"","","1km","28.0","Overcast","I saw at least 1 WESA during the survey","2015","8","15"
"33","",2013-07-21,"2","Spotting scope","","","5","","","None","","","","ENBO2013721","Calm","English Boom","ENBO","","","high tide","tide coming in","High-tide","Mid-tide","'3:15 PM","'1:15 PM",NA,"","","1km","17","Clear","","2013","7","21"
"34","Collaborative",2014-08-17,"","Both","","","","","None","","","","","GRIC2014817","Calm","","GRIC","","Grice Bay","","","Mid-high ","Mid-low ","14:30","12:00",NA,"","","1km","","Partly-Cloudy","I saw at least 1 WESA during the survey","2014","8","17"
"35","",2013-07-21,"3","Binoculars-only","","","","","","None","","","","COMX2013721","Choppy","Comox2","COMX","","","5.3","1.7","Mid-low","Low-tide","1330","1100 local",NA,"sailboat","","1km","12","Clear","","2013","7","21"
"36","",2013-07-20,"","Spotting scope","","","","","","None","","","","NANO2013720","Rippled","Nanoose Bay","NANO","","","mid","low","Mid-tide","Low-tide","'13:30","'11:00",NA,"","","1km","","Clear","","2013","7","20"
"37","",2013-07-21,"","Spotting scope","","","","","","None","","","","NANO2013721","Rippled","Nanoose Bay","NANO","","","","","Mid-low","Mid-low","'14:00","'12:00",NA,"","","1km","","Clear","","2013","7","21"
"38","",2013-07-19,"0","Binoculars-only","","","0","","","None","","","","IONA2013719","Rippled","Iona","IONA","","","High","Mid","High-tide","Mid-tide","1430","1330",NA,"0","","1km","30","Clear","","2013","7","19"
"39","",2013-07-19,"0","Spotting scope","","","5","","","None","","","","MAPL2013719","","Maplewood","MAPL","","","Mid-high","Low tide","Mid-high","Low-tide","'12:50","'10:20",NA,"0","Glare","1km","1","Clear","","2013","7","19"
"40","Collaborative",2015-07-18,"2.0","Both","","","","","None","","","0.0","1","BBSV2015718","Rippled","","BBSV","Boundary Bay Seaview","","High","Low","","","19:00","16:30",NA,"","","1km","50.0","Clear","I saw at least 1 WESA during the survey","2015","7","18"
"41","",2013-07-20,"0","Binoculars-only","","","0","","","None","","","","IONA2013720","","Iona","IONA","","","high","mid","High-tide","Mid-tide","1500","1345",NA,"0","","1km","100","Clear","","2013","7","20"
"42","",2013-07-19,"","Spotting scope","No activity","","","","","None","","","","COWC2013719","Calm","Cowichan Estuary","COWC","","","mid-high","low-tide","Mid-high","Low-tide","'12:45","11am",NA,"","","1km","","Clear","","2013","7","19"
"43","",2013-07-22,"","Spotting scope","No activity","","","","","None","","","","ESQU2013722","Calm","Esquimalt Lagoon","ESQU","","","mid-low (0.61 m)","low tide (0.41 M)","Mid-low","Low-tide","1145","1100",NA,"","Weather","1km","","Clear","","2013","7","22"
"44","Independent",2014-07-18,"","Both Binoculars and Scope","No activity","","","","","None","none","","","DEEP2014718","Rippled","Deep Bay","DEEP","","","mid high","mid tide","Mid-high","Mid-tide","0.45833333299999995","0.375",NA,"","","1km","","Clear","I did not observe any Western Sandpipers during the entire survey","2014","7","18"
"45","",2013-07-20,"0","Spotting scope","","","13","","","None","","","","MAPL2013720","Calm","Maplewood","MAPL","","","Mid-high","Low tide","Mid-high","Mid-low","'14:00","'11:30",NA,"0","Glare","1km","2","Clear","","2013","7","20"
"46","",2013-07-21,"0","Spotting scope","","","30","","","None","","","","MAPL2013721","Rippled","Maplewood","MAPL","","","Mid-high","Low tide","Mid-high","Low-tide","'14:45","'12:17",NA,"0","Glare","1km","4","Clear","","2013","7","21"
"47","",2013-07-20,"6 average at any time","Spotting scope","","","2","","","None","","","","ISVI2013720","Rippled","Islandview Beach","ISVI","","","low tide","low tide","Low-tide","Low-tide","'09:10","'07:10",NA,"","","1km","12 average at any time","Clear","","2013","7","20"
"48","Collaborative",2015-07-18,"0.0","Both Binoculars and Scope","","","0","","","None","No measure","","","WITT2015718","Rippled","","WITT","Wittys Lagoon","","Low","Low","Low-tide","Low-tide","2:00:00 PM","11:30:00 AM",NA,"0","","1km","2","Clear","I saw at least 1 WESA during the survey","2015","7","18"
"49","",2013-07-21,"18 average at any time","Spotting scope","","","4","","","None","","","","ISVI2013721","Rippled","Island View Beach","ISVI","","","low tide","low tide","Low-tide","Low-tide","'11:00","'09:00",NA,"7","","1km","36 average at any time","Clear","","2013","7","21"
"50","",2013-08-16,"1","Spotting scope","","","0","","","None","","","","DEEP2013816","Choppy","deep bay","DEEP","","","3.4","2.5 m","Mid-high","Mid-low","'13:130","'11:00",NA,"2","","1km","1","Partly-Cloudy","I saw at least 1 WESA during the survey","2013","8","16"
"51","",2013-07-20,"","Spotting scope","No activity","","","","","None","","","","BB042013720","","Boundary Bay 104","BB04","","","3.85m","2.5m","High-tide","Mid-high","'14:30","'14:00",NA,"","Glare","1km","","Clear","","2013","7","20"
"52","",2013-07-21,"","Spotting scope","","","","","","None","","","","BB042013721","Wavy","Boundary Bay 104","BB04","","","3.9m","2.3m","High-tide","Mid-tide","'17:00","'14:30",NA,"","Glare","1km","1","Clear","","2013","7","21"
"53","Collaborative",2015-08-16,"4.0","Both Binoculars and Scope","","","","","","None","2 WESA; 5 LESA","","","PIPE2015816","Rippled","","PIPE","Pipers Lagoon","","11.4 ft","7.2 ft","Mid-high","Mid-tide","6:00:00 PM","4:00:00 PM",NA,"3","","1km","25","Clear","I saw at least 1 WESA during the survey","2015","8","16"
"54","",2013-07-19,"1","Spotting scope","","","16","","","None","","","","DEEP2013719","Rippled","Deep Bay","DEEP","","","2m","0.8m","Mid-low","Low-tide","'12:35","'10:00",NA,"8","","500m","9","Clear","","2013","7","19"
"55","",2013-07-20,"","","No activity","","","","","None","","","","COWC2013720","Calm","Cowichan Estuary","COWC","","","mid-high","mid-low","Mid-high","Mid-low","2pm","'12:30",NA,"","","1km","","Clear","","2013","7","20"
"56","",2013-07-20,"3","Spotting scope","","","41","","","None","","","","DEEP2013720","Rippled","Deep Bay","DEEP","","","1.8m","0.7m","Mid-low","Low-tide","'13:15","'10:45",NA,"7","","1km","8","Clear","","2013","7","20"
"57","",2013-08-17,"1","Binoculars-only","","","","","","None","","","","WITT2013817","Calm","Witty's Lagoon","WITT","","","Low","Mid-low","Low-tide","Mid-low","'9:30","'07:00",NA,"","","1km","1","Partly-Cloudy","I saw at least 1 WESA during the survey","2013","8","17"
"58","",2013-07-20,"","Spotting scope","No activity","","","","","None","","","","CROC2013720","","Crockett Lake, WA","CROC","","","","no tide - on lake","","","","'11:15",NA,"","Other","100m","","Overcast","","2013","7","20"
"59","",2013-07-21,"7","Spotting scope","","","20","","","None","","","","DEEP2013721","Rippled","Deep Bay","DEEP","","","2.3m","0.7m","Mid-tide","Low-tide","'14:30","'12:00",NA,"4","","1km","24","Clear","","2013","7","21"
"60","",2013-07-21,"6","Spotting scope","","","","","","None","","","","BB722013721","Rippled","FRD72nd","BB72","","","High tide","mid low","High-tide","Mid-low","1700","1430",NA,"","Other","1km","20","Clear","","2013","7","21"
"61","",2013-07-21,"","Spotting scope","","","","","","None","","","","CROC2013721","","Crockett Lake, WA","CROC","","","","no tide - on lake","","","","'11:15",NA,"","Other","250m","","Overcast","","2013","7","21"
"62","",2013-07-20,"","Binoculars-only","No activity","","","","","None","","","","KALE2013720","Rippled","kaleva rd","KALE","","","low","low","Mid-low","Low-tide","930","700",NA,"","","1km","","Overcast","","2013","7","20"
"63","",2013-07-20,"1","Binoculars-only","","","5","","","None","","","","WINT2013720","Rippled","Winter Cove, Saturna Island","WINT","","","3.5 m","3.3 m","High-tide","Mid-high","'7:00 pm","'5:00 pm",NA,"2","","1km","5","Clear","","2013","7","20"
"64","",2013-07-20,"","Binoculars-only","","","1","","","None","","","","SQUA2013720","Wavy","Squamish Estuary","SQUA","","","","","","","'12:30 pm","10 am",NA,"","","100m","","Partly-Cloudy","","2013","7","20"
"65","",2013-07-20,"","Binoculars-only","","","10","","","None","","","","SHPO2013720","Rippled","Ship's Point","SHPO","","","","","Mid-low","Low-tide","1230","1000",NA,"6","","1km","","Clear","","2013","7","20"
"66","",2013-08-18,"0","Binoculars-only","","","0","","","None","","","","ENBO2013818","Choppy","English Boom, Camano Island, WA, USA","ENBO","","","~6.8ft","~5.9ft","High-tide","Mid-high","'16:00","'14:00",NA,"0","","1km","5","Partly-Cloudy","I did observe any Western Sandpipers during the entire survey","2013","8","18"
"67","",2013-07-21,"","Binoculars-only","","","10","","","None","","","","SHPO2013721","Rippled","Ship's Point","SHPO","","","","","Mid-low","Low-tide","1330","1100",NA,"6","","1km","","Clear","","2013","7","21"
"68","",2013-07-20,"1","Spotting scope","","","0","","","None","","","","PEDD2013720","Calm","Pedder Bay","PEDD","","","Mid-low","Low tide","Mid-low","Low-tide","1040","800",NA,"0","","1km","0","Clear","","2013","7","20"
"69","Single Observer",2013-08-18,"","","","","","","","","","","","BB922013818","","","BB92","","Boundary Bay 92","","","","","16:30","14:00",NA,"","","","","","I saw at least 1 WESA during the survey","2013","8","18"
"70","",2013-07-22,"","Binoculars-only","","","7","","","None","","","","SHPO2013722","Rippled","Ship's Point","SHPO","","","","","Mid-low","Low-tide","1430","1200",NA,"5","","1km","","Clear","","2013","7","22"
"71","",2013-07-21,"3","Spotting scope","","","","","","None","","","","SANM2013721","Rippled","San Malo Bay","SANM","","","Low-tide","Low-tide","Low-tide","Low-tide","'14:30","'12:30",NA,"","Glare","500m","13","Clear","","2013","7","21"
"72","",2013-08-17,"","Spotting scope","","","","","","None","","","","SDNY2013817","Choppy","Sidney Island (Brick Dock)","SDNY","","","Mid High","mid tide","Mid-high","Mid-low","1330","1100",NA,"","","1km","3","Partly-Cloudy","I saw at least 1 WESA during the survey","2013","8","17"
"73","",2013-07-21,"","Spotting scope","No activity","","","","","None","","","","EIDE2013721","Rippled","Eide Rd Ponds","EIDE","","","","","","","1500","1300",NA,"","","1km","","Clear","","2013","7","21"
"74","",2013-07-21,"","Spotting scope","No activity","","","","","None","","","","PEDD2013721","Calm","Pedder Bay","PEDD","","","mid-low","low tide","Mid-low","Low-tide","1130","900",NA,"","","1km","","Clear","","2013","7","21"
"75","",2013-07-19,"5","Binoculars-only","","","0","","","None","","","","ALHE2013719","Calm","Albert Head Lagoon outflow","ALHE","","","Mid","Low","Mid-tide","Low-tide","'10:30","'08:00",NA,"0","","1km","6","Clear","","2013","7","19"
"76","",2013-07-20,"","Spotting scope","","","","","","None","","","","CHEM2013720","Rippled","Chemainus Estuary","CHEM","","","high incoming ca. 3.0 ft.","mid incoming ca 1.4 ft.","Mid-low","Mid-high","1405","1130",NA,"","","1km","","Clear","","2013","7","20"
"77","",2013-07-20,"3","Spotting scope","","","1","","","None","","","","VRYL2013720","Calm","View Royal","VRYL","","","1.2 m","0.4 m","Mid-tide","Low-tide","'11:30","'09:00",NA,"1","","1km","5","Clear","","2013","7","20"
"78","",2013-07-21,"1","Spotting scope","","","0","","","None","","","","VRYL2013721","Rippled","View Royal","VRYL","","","1.3 m","0.3 m","Mid-low","Low-tide","'12:30","'10:00",NA,"0","","1km","1","Partly-Cloudy","","2013","7","21"
"79","",2013-07-20,"1","Spotting scope","","","","","","None","","","","SJEN2013720","","Jensens_S","SJEN","","","","","Mid-high","Mid-low","'20:00","'17:30",NA,"","","","3","Overcast","I did observe any Western Sandpipers during the entire survey","2013","7","20"
"80","",2013-07-19,"","Spotting scope","No activity","","","","","None","","","","NJEN2013719","","","NJEN","","","","","High-tide","Mid-tide","'19:45","'18:00",NA,"","","1km","","Partly-Cloudy","I did observe any Western Sandpipers during the entire survey","2013","7","19"
"81","",2013-07-20,"","Spotting scope","","","","","","None","","","","NJEN2013720","Calm","Jensens_N","NJEN","","","","","Mid-low","Mid-low","'20:00","'17:30",NA,"","","1km","2","Overcast","I did observe any Western Sandpipers during the entire survey","2013","7","20"
"82","",2013-07-21,"","Spotting scope","No activity","","","","","None","","","","NJEN2013721","Calm","Jensens_N","NJEN","","","","","Mid-low","Low-tide","'20:00","'17:30",NA,"","","1km","","Overcast","I did observe any Western Sandpipers during the entire survey","2013","7","21"
"83","",2013-08-16,"2","Spotting scope","","","0","","","None","","","","ESQU2013816","Calm","Esquimalt Lagoon","ESQU","","","1.33 m","0.76 m","Mid-low","Low-tide","930","700",NA,"1","Weather","500m","1","Fog","I did observe any Western Sandpipers during the entire survey","2013","8","16"
"84","",2013-08-17,"","Binoculars-only","No activity","","","","","None","","","","KALE2013817","Rippled","malcolm island kaleva rd","KALE","","","low","low","Mid-low","Low-tide","'18:30","'16:00",NA,"","","1km","","Partly-Cloudy","I saw at least 1 WESA during the survey","2013","8","17"
"85","",2013-08-18,"10","Spotting scope","","","0","","","None","","","","ESQU2013818","Calm","Esquimalt Lagoon","ESQU","","","mid-low (1.05 m)","low tide (0.41 M)","Mid-low","Low-tide","1030","800",NA,"2","","1km","13","Partly-Cloudy","I did observe any Western Sandpipers during the entire survey","2013","8","18"
"86","",2013-08-18,"","Spotting scope","No activity","","","","","Rain","","","","GRIC2013818","Calm","Grice Bay","GRIC","","","2.9","1.7","High-tide","Mid-low","'11:00","'08:30",NA,"","","500m","","Overcast","I did observe any Western Sandpipers during the entire survey","2013","8","18"
"87","",2013-08-17,"","Spotting scope","No activity","","","","","None","","","","GRIC2013817","Calm","Grice Bay","GRIC","","","2.7","2.4","High-tide","High-tide","'10:00","'9:00",NA,"","","","","Clear","I did observe any Western Sandpipers during the entire survey","2013","8","17"
"88","Single Observer",2013-07-20,"","Both","","","","","None","","","","","WITT2013720","","","WITT","","Wittys Lagoon","","","Mid-low ","Mid-tide","10:30","8:00",NA,"","","1km","","Clear","I saw at least 1 WESA during the survey","2013","7","20"
"89","Collaborative",2014-08-18,"> 0","Both","","Cyclists","","","None","","","","","BB122014818","Rippled","","BB12","","Boundary Bay 112","","","High-tide","Mid-tide","14:05","12:00",NA,"","","1km","> 0","Partly-Cloudy","I did not observe any Western Sandpipers during the entire survey","2014","8","18"
"90","",2013-08-18,"2","Spotting scope","","","0","","","None","","","","DEEP2013818","Choppy","deep bay","DEEP","","","2.9","1.4 m","Mid-high","Low-tide","'14:15","'11:45",NA,"0","","1km","7","Partly-Cloudy","I saw at least 1 WESA during the survey","2013","8","18"
"91","Single Observer",2015-07-18,"","","","","","","","","","","","BB042015718","","","BB04","Boundary Bay 104","","","","","","19:00","16:30",NA,"","","","","","I did not observe any Western Sandpipers during the entire survey","2015","7","18"
"92","Single Observer",2015-08-14,"","Both Binoculars and Scope","No activity","","","","","None","1 WESA, 14 LESA","","","GRIC2015814","Rippled","","GRIC","Grice Bay","","high-tide","mid-tide","High-tide","Mid-tide","12:00:00 AM","9:30:00 AM",NA,"","","1km","","Overcast","I saw at least 1 WESA during the survey","2015","8","14"
"93","",2013-08-18,"","Spotting scope","","","","","","None","","","","NANO2013818","Choppy","Nanoose Bay","NANO","","","","","High-tide","Mid-low","'3:30","'12:45",NA,"","","","","Overcast","I did observe any Western Sandpipers during the entire survey","2013","8","18"
"94","",2013-08-17,"","Spotting scope","No activity","","","","","None","","","","NJEN2013817","Calm","Jensens_N","NJEN","","","","","High-tide","Mid-high","'11:30","'9:00",NA,"","Weather","500m","","Overcast","I saw at least 1 WESA during the survey","2013","8","17"
"95","",2013-08-18,"","Binoculars-only","No activity","","","","","None","","","","KALE2013818","Rippled","malcolm island kaleva rd","KALE","","","low","low","Mid-low","Mid-low","'18:30","'16:00",NA,"","","1km","","Partly-Cloudy","I saw at least 1 WESA during the survey","2013","8","18"
"96","",2013-08-18,"","Spotting scope","No activity","","","","","None","","","","CROC2013818","","Crockett's Lake","CROC","","","","","","","'12:00pm","'10:00am",NA,"","","1km","","Partly-Cloudy","I saw at least 1 WESA during the survey","2013","8","18"
"97","Collaborative",2014-08-16,"2","Both","","","","","None","","","","","GRIC2014816","Calm","","GRIC","","Grice Bay","","","Mid-high ","Low-tide","14:00","11:30",NA,"","","1km","2","Overcast","I saw at least 1 WESA during the survey","2014","8","16"
"98","Collaborative",2015-08-17,"3.0","Both Binoculars and Scope","","","2","","","None","","","","ISVI2015817","Calm","","ISVI","Island View","","1.8","1.2","Mid-high","Mid-low","4:30:00 PM","2:00:00 PM",NA,"0","","1km","12","Clear","I did not observe any Western Sandpipers during the entire survey","2015","8","17"
"99","",2013-08-17,"0","Spotting scope","","","3","","","None","","","","MAPL2013817","Rippled","Maplewood Flats","MAPL","","","Mid-high to high-tide","Mid-tide","Mid-high","Mid-tide","'15:40","'13:00",NA,"3","","1km","1","Partly-Cloudy","I saw at least 1 WESA during the survey","2013","8","17"
"100","",2013-08-19,"","Spotting scope","","","","","","None","","","","SJEN2013819","","Jensens_S","SJEN","","","","","High-tide","Mid-low","'12:00","'10:00",NA,"","","500m","","Partly-Cloudy","I saw at least 1 WESA during the survey","2013","8","19"
"101","Single Observer",2015-08-15,"","Both Binoculars and Scope","","","","","","None","16 Wesa 8 Lesa","","","NANO2015815","Choppy","","NANO","Nanoose Bay","","Mid High 5 metres out","Mid-low 255 metres out.","Mid-high","Mid-low","5:30:00 PM","3:00:00 PM",NA,"","","1km","7","Partly-Cloudy","I saw at least 1 WESA during the survey","2015","8","15"
"102","",2013-07-21,"10","Binoculars-only","","","","","","None","","","","ALHE2013721","Calm","Albert Head Lagoon outflow","ALHE","","","Mid","Low","Mid-high","Low-tide","'12:30","'10:00",NA,"1","","1km","20","Clear","","2013","7","21"
"103","",2013-08-17,"2","Binoculars-only","","","","","","None","","","","ENBO2013817","Rippled","English Boom","ENBO","","","unknown","unknown","High-tide","Mid-high","1600","1400",NA,"2","","1km","6","Partly-Cloudy","I did observe any Western Sandpipers during the entire survey","2013","8","17"
"104","",2013-08-17,"4","Spotting scope","","","","","","None","","","","SANM2013817","Calm","San Malo Bay","SANM","","","3.9m","2.5m","Mid-high","Mid-tide","'14:30","'12:30",NA,"","","1km","6","Clear","I saw at least 1 WESA during the survey","2013","8","17"
"105","",2013-08-18,"2","Spotting scope","","","","","","None","","","","SANM2013818","Rippled","San Malo Bay","SANM","","","4.1m","2.5m","Mid-high","Mid-high","'15:30","'13:30",NA,"","","1km","10","Partly-Cloudy","I saw at least 1 WESA during the survey","2013","8","18"
"106","",2013-08-18,"5","Binoculars-only","","","","","","None","","","","WITT2013818","Rippled","Witty's Lagoon","WITT","","","","","Low-tide","Mid-low","'10:30","'08:00",NA,"","","1km","","Overcast","I did observe any Western Sandpipers during the entire survey","2013","8","18"
"107","",2013-07-20,"5","Spotting scope","","","","","","","","","","BB722013720","Rippled","Boundary Bay 72","BB72","","","High tide","Mid low","","Mid-low","1630","1400",NA,"","","1km","10","Clear","","2013","7","20"
"108","Collaborative",2014-07-20,"","Both","","","","","None","","","","","NJEN2014720","Rippled","","NJEN","","Jensens Bay N","","","High-tide","Low-tide","18:25","16:00",NA,"","","1km","","Partly-Cloudy","I saw at least 1 WESA during the survey","2014","7","20"
"109","Independent ",2015-08-15,"","Binoculars-only","No activity","","","","","None","65 WESA","","","FANY2015815","Rippled","","FANY","Fanny Bay","","3.8 m","2.1 m","Mid-high","Mid-low","6:00:00 PM","3:30:00 PM",NA,"","","1km","","Overcast","I saw at least 1 WESA during the survey","2015","8","15"
"110","",2013-08-16,"","Spotting scope","No activity","","","","","None","","","","BB042013816","Calm","Boundary Bay 104 St","BB04","","","3.8m","3.4m","High-tide","Mid-high","'16:00","'13:30",NA,"","Glare","500m","","Partly-Cloudy","I did not observe any Western Sandpipers during the entire survey","2013","8","16"
